dataset,model,evaluation,window_size,hidden_size,epochs,learning_rate,MAE,RMSE,R2
FD001,GRU,last_cycle_window_30,30,64.0,20,0.001,10.615509986877441,14.127662070253841,0.8757115006446838
FD002,LSTM,last_cycle_window_30,30,64.0,20,0.001,14.063708305358887,19.32353374253343,0.7958038449287415
FD003,GRU,last_cycle_window_30,30,64.0,20,0.001,8.896507263183594,12.96536688741937,0.8904154896736145
FD004,LSTM,last_cycle_window_30,30,64.0,20,0.001,15.120835304260254,20.631150686816024,0.7670992612838745
