dataset,model,evaluation,window_size,hidden_size,epochs,learning_rate,MAE,RMSE,R2
FD001,GRU,all_cycles_window_30,30,64.0,20,0.001,10.241121292114258,14.023966302703919,0.7774339318275452
FD002,LSTM,all_cycles_window_30,30,64.0,20,0.001,14.26684856414795,20.031897476372684,0.5822384357452393
FD003,GRU,all_cycles_window_30,30,64.0,20,0.001,7.520110607147217,12.149110084878323,0.7911757230758667
FD004,LSTM,all_cycles_window_30,30,64.0,20,0.001,11.42156982421875,17.883405509772267,0.571303129196167
