model,evaluation,MAE,RMSE,R2
Linear Regression,all_cycles,16.64220419101686,20.750289768024246,0.43391082418547566
Random Forest,all_cycles,12.446675394652686,17.158479184083866,0.6129259081084806
Gradient Boosting,all_cycles,12.61762402502377,17.34661476534956,0.6043911606886918
