model,evaluation,MAE,RMSE,R2
Linear Regression,last_cycle,16.56873644302419,20.830452418997652,0.7297985369402362
Random Forest,last_cycle,12.170970448214597,17.49007502562009,0.8095093621349086
Gradient Boosting,last_cycle,12.076587072171916,17.35816030906852,0.8123719862844714
