model,MAE,RMSE,R2
Linear Regression,16.64220419101686,20.750289768024246,0.43391082418547566
Random Forest,12.446675394652685,17.158479184083866,0.6129259081084806
Gradient Boosting,12.61762402502377,17.34661476534956,0.6043911606886918
